date;searches
2021-01-03;4
2021-01-10;4
2021-01-17;7
2021-01-24;7
2021-01-31;8
2021-02-07;8
2021-02-14;7
2021-02-21;9
2021-02-28;16
2021-03-07;15
2021-03-14;24
2021-03-21;33
2021-03-28;57
2021-04-04;61
2021-04-11;66
2021-04-18;70
2021-04-25;74
2021-05-02;100
2021-05-09;77
2021-05-16;65
2021-05-23;60
2021-05-30;53
2021-06-06;42
2021-06-13;44
2021-06-20;24
2021-06-27;12
2021-07-04;9
2021-07-11;8
2021-07-18;7
2021-07-25;7
2021-08-01;6
2021-08-08;5
2021-08-15;9
2021-08-22;0
2021-08-29;4
2021-09-05;6
2021-09-12;3
2021-09-19;10
2021-09-26;4
2021-10-03;8
2021-10-10;5
2021-10-17;4
2021-10-24;10
2021-10-31;4
2021-11-07;9
2021-11-14;5
2021-11-21;8
2021-11-28;3
2021-12-05;6
2021-12-12;3
2021-12-19;11
2021-12-26;14
2022-01-02;7
2022-01-09;11
2022-01-16;0
2022-01-23;6
2022-01-30;14
2022-02-06;9
2022-02-13;5
2022-02-20;5
2022-02-27;0
2022-03-06;11
2022-03-13;13
2022-03-20;20
2022-03-27;32
2022-04-03;38
2022-04-10;84
2022-04-17;65
2022-04-24;76
2022-05-01;83
2022-05-08;74
2022-05-15;66
2022-05-22;54
2022-05-29;47
2022-06-05;36
2022-06-12;24
2022-06-19;16
2022-06-26;9
2022-07-03;14
2022-07-10;13
2022-07-17;9
2022-07-24;4
2022-07-31;10
2022-08-07;6
2022-08-14;0
2022-08-21;3
2022-08-28;8
2022-09-04;8
2022-09-11;7
2022-09-18;3
2022-09-25;3
2022-10-02;5
2022-10-09;6
2022-10-16;12
2022-10-23;6
2022-10-30;6
2022-11-06;0
2022-11-13;5
2022-11-20;10
2022-11-27;7
2022-12-04;2
2022-12-11;11
2022-12-18;17
2022-12-25;20
