date;searches
2022-01-02;7
2022-01-09;11
2022-01-16;0
2022-01-23;6
2022-01-30;14
2022-02-06;9
2022-02-13;5
2022-02-20;5
2022-02-27;0
2022-03-06;11
2022-03-13;13
2022-03-20;20
2022-03-27;32
2022-04-03;38
2022-04-10;84
2022-04-17;65
2022-04-24;76
2022-05-01;83
2022-05-08;74
2022-05-15;66
2022-05-22;54
2022-05-29;47
2022-06-05;36
2022-06-12;24
2022-06-19;16
2022-06-26;9
2022-07-03;14
2022-07-10;13
2022-07-17;9
2022-07-24;4
2022-07-31;10
2022-08-07;6
2022-08-14;0
2022-08-21;3
2022-08-28;8
2022-09-04;8
2022-09-11;7
2022-09-18;3
2022-09-25;3
2022-10-02;5
2022-10-09;6
2022-10-16;12
2022-10-23;6
2022-10-30;6
2022-11-06;0
2022-11-13;5
2022-11-20;10
2022-11-27;7
2022-12-04;2
2022-12-11;11
2022-12-18;17
2022-12-25;20
