date;searches
2022-01-02;12
2022-01-09;11
2022-01-16;7
2022-01-23;13
2022-01-30;10
2022-02-06;14
2022-02-13;9
2022-02-20;11
2022-02-27;9
2022-03-06;11
2022-03-13;10
2022-03-20;16
2022-03-27;15
2022-04-03;16
2022-04-10;15
2022-04-17;16
2022-04-24;12
2022-05-01;12
2022-05-08;20
2022-05-15;22
2022-05-22;19
2022-05-29;18
2022-06-05;15
2022-06-12;38
2022-06-19;40
2022-06-26;51
2022-07-03;46
2022-07-10;83
2022-07-17;79
2022-07-24;70
2022-07-31;73
2022-08-07;100
2022-08-14;54
2022-08-21;39
2022-08-28;28
2022-09-04;21
2022-09-11;19
2022-09-18;8
2022-09-25;27
2022-10-02;19
2022-10-09;10
2022-10-16;8
2022-10-23;13
2022-10-30;12
2022-11-06;9
2022-11-13;9
2022-11-20;13
2022-11-27;6
2022-12-04;8
2022-12-11;16
2022-12-18;42
2022-12-25;24
